COUNTY,YEAR,STRATA,STRATA NAME,AGE GROUP,NUMBER OF HOSPITALIZATIONS,AGE-ADJUSTED HOSPITALIZATION RATE,COMMENT
San Diego,2022,Age groups,0–4 years,0–4 years,472,24.4,
San Francisco,2022,Age groups,0–4 years,0–4 years,100,25.3,
San Joaquin,2022,Age groups,0–4 years,0–4 years,91,18.5,
San Luis Obispo,2022,Age groups,0–4 years,0–4 years,14,11.9,
San Mateo,2022,Age groups,0–4 years,0–4 years,58,15.2,
Santa Barbara,2022,Age groups,0–4 years,0–4 years,20,7.5,
Santa Clara,2022,Age groups,0–4 years,0–4 years,154,15.4,
Santa Cruz,2022,Age groups,0–4 years,0–4 years,21,16.5,
Shasta,2022,Age groups,0–4 years,0–4 years,19,18.8,
Sierra,2022,Age groups,0–4 years,0–4 years,0,0,
Siskiyou,2022,Age groups,0–4 years,0–4 years,0,0,
Solano,2022,Age groups,0–4 years,0–4 years,25,10.2,
Sonoma,2022,Age groups,0–4 years,0–4 years,21,10.4,
Stanislaus,2022,Age groups,0–4 years,0–4 years,57,15.4,
Sutter,2022,Age groups,0–4 years,0–4 years,11,,Rate not available due to statistical instability
Tehama,2022,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Trinity,2022,Age groups,0–4 years,0–4 years,0,0,
Tulare,2022,Age groups,0–4 years,0–4 years,75,21.2,
Tuolumne,2022,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Ventura,2022,Age groups,0–4 years,0–4 years,47,10.3,
Yolo,2022,Age groups,0–4 years,0–4 years,12,10.4,
Yuba,2022,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
California,2022,Age groups,5–17 years,5–17 years,3847,5.9,
Alameda,2022,Age groups,5–17 years,5–17 years,91,3.6,
Alpine,2022,Age groups,5–17 years,5–17 years,0,0,
Amador,2022,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Butte,2022,Age groups,5–17 years,5–17 years,19,5.7,
Calaveras,2022,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Colusa,2022,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Contra Costa,2022,Age groups,5–17 years,5–17 years,79,4.6,
Del Norte,2022,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
El Dorado,2022,Age groups,5–17 years,5–17 years,14,6.1,
Fresno,2022,Age groups,5–17 years,5–17 years,203,9.9,
Glenn,2022,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Humboldt,2022,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Imperial,2022,Age groups,5–17 years,5–17 years,32,7.7,
Inyo,2022,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Kern,2022,Age groups,5–17 years,5–17 years,78,4.2,
Kings,2022,Age groups,5–17 years,5–17 years,11,,Rate not available due to statistical instability
Lake,2022,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Lassen,2022,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Los Angeles,2022,Age groups,5–17 years,5–17 years,1048,6.6,
Madera,2022,Age groups,5–17 years,5–17 years,18,6.2,
Marin,2022,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Mariposa,2022,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Mendocino,2022,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Merced,2022,Age groups,5–17 years,5–17 years,37,6.5,
Modoc,2022,Age groups,5–17 years,5–17 years,0,0,
Mono,2022,Age groups,5–17 years,5–17 years,0,0,
Monterey,2022,Age groups,5–17 years,5–17 years,54,6.6,
Napa,2022,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Nevada,2022,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Orange,2022,Age groups,5–17 years,5–17 years,213,4.2,
Placer,2022,Age groups,5–17 years,5–17 years,22,4.4,
Plumas,2022,Age groups,5–17 years,5–17 years,0,0,
Riverside,2022,Age groups,5–17 years,5–17 years,291,6.8,
Sacramento,2022,Age groups,5–17 years,5–17 years,205,7.9,
San Benito,2022,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
San Bernardino,2022,Age groups,5–17 years,5–17 years,317,7.6,
San Diego,2022,Age groups,5–17 years,5–17 years,423,7.1,
San Francisco,2022,Age groups,5–17 years,5–17 years,53,5.1,
San Joaquin,2022,Age groups,5–17 years,5–17 years,98,6.8,
San Luis Obispo,2022,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
San Mateo,2022,Age groups,5–17 years,5–17 years,25,2.1,
Santa Barbara,2022,Age groups,5–17 years,5–17 years,17,2.3,
Santa Clara,2022,Age groups,5–17 years,5–17 years,125,4,
Santa Cruz,2022,Age groups,5–17 years,5–17 years,18,4.2,
Shasta,2022,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Sierra,2022,Age groups,5–17 years,5–17 years,0,0,
Siskiyou,2022,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Solano,2022,Age groups,5–17 years,5–17 years,25,3.6,
Sonoma,2022,Age groups,5–17 years,5–17 years,17,2.6,
Stanislaus,2022,Age groups,5–17 years,5–17 years,74,7,
Sutter,2022,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Tehama,2022,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Trinity,2022,Age groups,5–17 years,5–17 years,0,0,
Tulare,2022,Age groups,5–17 years,5–17 years,54,5.4,
Tuolumne,2022,Age groups,5–17 years,5–17 years,0,0,
Ventura,2022,Age groups,5–17 years,5–17 years,66,5,
Yolo,2022,Age groups,5–17 years,5–17 years,20,5.5,
Yuba,2022,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
California,2022,Age groups,18–64 years,18–64 years,4588,1.9,
Alameda,2022,Age groups,18–64 years,18–64 years,161,1.4,
Alpine,2022,Age groups,18–64 years,18–64 years,0,0,
Amador,2022,Age groups,18–64 years,18–64 years,0,0,
Butte,2022,Age groups,18–64 years,18–64 years,28,2.3,
Calaveras,2022,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Colusa,2022,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Contra Costa,2022,Age groups,18–64 years,18–64 years,120,1.6,
Del Norte,2022,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
El Dorado,2022,Age groups,18–64 years,18–64 years,24,2,
Fresno,2022,Age groups,18–64 years,18–64 years,211,3.5,
Glenn,2022,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Humboldt,2022,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Imperial,2022,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Inyo,2022,Age groups,18–64 years,18–64 years,0,0,
Kern,2022,Age groups,18–64 years,18–64 years,76,1.4,
Kings,2022,Age groups,18–64 years,18–64 years,19,2.2,
Lake,2022,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Lassen,2022,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Los Angeles,2022,Age groups,18–64 years,18–64 years,1410,2.2,
Madera,2022,Age groups,18–64 years,18–64 years,13,1.5,
Marin,2022,Age groups,18–64 years,18–64 years,14,0.9,
Mariposa,2022,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Mendocino,2022,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Merced,2022,Age groups,18–64 years,18–64 years,37,2.2,
Modoc,2022,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Mono,2022,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Monterey,2022,Age groups,18–64 years,18–64 years,65,2.5,
Napa,2022,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Nevada,2022,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Orange,2022,Age groups,18–64 years,18–64 years,215,1,
Placer,2022,Age groups,18–64 years,18–64 years,26,1.1,
Plumas,2022,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Riverside,2022,Age groups,18–64 years,18–64 years,274,1.9,
Sacramento,2022,Age groups,18–64 years,18–64 years,233,2.4,
San Benito,2022,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
San Bernardino,2022,Age groups,18–64 years,18–64 years,329,2.5,
San Diego,2022,Age groups,18–64 years,18–64 years,349,1.8,
San Francisco,2022,Age groups,18–64 years,18–64 years,61,1,
San Joaquin,2022,Age groups,18–64 years,18–64 years,84,1.9,
San Luis Obispo,2022,Age groups,18–64 years,18–64 years,18,1.2,
San Mateo,2022,Age groups,18–64 years,18–64 years,40,0.9,
Santa Barbara,2022,Age groups,18–64 years,18–64 years,24,0.8,
Santa Clara,2022,Age groups,18–64 years,18–64 years,167,1.3,
Santa Cruz,2022,Age groups,18–64 years,18–64 years,18,1.2,
Shasta,2022,Age groups,18–64 years,18–64 years,11,,Rate not available due to statistical instability
Sierra,2022,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Siskiyou,2022,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Solano,2022,Age groups,18–64 years,18–64 years,46,1.8,
Sonoma,2022,Age groups,18–64 years,18–64 years,24,0.7,
Stanislaus,2022,Age groups,18–64 years,18–64 years,67,2.1,
Sutter,2022,Age groups,18–64 years,18–64 years,11,,Rate not available due to statistical instability
Tehama,2022,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Trinity,2022,Age groups,18–64 years,18–64 years,0,0,
Tulare,2022,Age groups,18–64 years,18–64 years,39,1.4,
Tuolumne,2022,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Ventura,2022,Age groups,18–64 years,18–64 years,49,0.9,
Yolo,2022,Age groups,18–64 years,18–64 years,14,1.2,
Yuba,2022,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
California,2022,Age groups,65+ years,65+ years,1816,2.7,
Alameda,2022,Age groups,65+ years,65+ years,74,2.7,
Alpine,2022,Age groups,65+ years,65+ years,0,0,
Amador,2022,Age groups,65+ years,65+ years,0,0,
Butte,2022,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Calaveras,2022,Age groups,65+ years,65+ years,0,0,
Colusa,2022,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Contra Costa,2022,Age groups,65+ years,65+ years,60,2.8,
Del Norte,2022,Age groups,65+ years,65+ years,0,0,
El Dorado,2022,Age groups,65+ years,65+ years,17,3.9,
Fresno,2022,Age groups,65+ years,65+ years,64,4.5,
Glenn,2022,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Humboldt,2022,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Imperial,2022,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Inyo,2022,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Kern,2022,Age groups,65+ years,65+ years,17,1.5,
Kings,2022,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Lake,2022,Age groups,65+ years,65+ years,0,0,
Lassen,2022,Age groups,65+ years,65+ years,0,0,
Los Angeles,2022,Age groups,65+ years,65+ years,597,3.6,
Madera,2022,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Marin,2022,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Mariposa,2022,Age groups,65+ years,65+ years,0,0,
Mendocino,2022,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Merced,2022,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Modoc,2022,Age groups,65+ years,65+ years,0,0,
Mono,2022,Age groups,65+ years,65+ years,0,0,
Monterey,2022,Age groups,65+ years,65+ years,15,2.3,
Napa,2022,Age groups,65+ years,65+ years,0,0,
Nevada,2022,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Orange,2022,Age groups,65+ years,65+ years,116,2.1,
Placer,2022,Age groups,65+ years,65+ years,19,2.1,
Plumas,2022,Age groups,65+ years,65+ years,0,0,
Riverside,2022,Age groups,65+ years,65+ years,75,1.8,
Sacramento,2022,Age groups,65+ years,65+ years,84,3.6,
San Benito,2022,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
San Bernardino,2022,Age groups,65+ years,65+ years,60,2,
San Diego,2022,Age groups,65+ years,65+ years,183,3.2,
San Francisco,2022,Age groups,65+ years,65+ years,38,2.4,
San Joaquin,2022,Age groups,65+ years,65+ years,24,2.3,
San Luis Obispo,2022,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
San Mateo,2022,Age groups,65+ years,65+ years,25,1.7,
Santa Barbara,2022,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Santa Clara,2022,Age groups,65+ years,65+ years,112,3.3,
Santa Cruz,2022,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Shasta,2022,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Sierra,2022,Age groups,65+ years,65+ years,0,0,
Siskiyou,2022,Age groups,65+ years,65+ years,0,0,
Solano,2022,Age groups,65+ years,65+ years,12,1.5,
Sonoma,2022,Age groups,65+ years,65+ years,16,1.4,
Stanislaus,2022,Age groups,65+ years,65+ years,34,4.1,
Sutter,2022,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Tehama,2022,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Trinity,2022,Age groups,65+ years,65+ years,0,0,
Tulare,2022,Age groups,65+ years,65+ years,14,2.2,
Tuolumne,2022,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Ventura,2022,Age groups,65+ years,65+ years,26,1.8,
Yolo,2022,Age groups,65+ years,65+ years,15,4.7,
Yuba,2022,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
California,2022,Race/ethnicity,White,All ages,3435,2.5,
Alameda,2022,Race/ethnicity,White,All ages,69,1.1,
Alpine,2022,Race/ethnicity,White,All ages,0,0,
Amador,2022,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Butte,2022,Race/ethnicity,White,All ages,45,3.2,
Calaveras,2022,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Colusa,2022,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Contra Costa,2022,Race/ethnicity,White,All ages,81,1.6,
Del Norte,2022,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
El Dorado,2022,Race/ethnicity,White,All ages,48,3.4,
Fresno,2022,Race/ethnicity,White,All ages,146,5.1,
Glenn,2022,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Humboldt,2022,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Imperial,2022,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Inyo,2022,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Kern,2022,Race/ethnicity,White,All ages,58,1.8,
Kings,2022,Race/ethnicity,White,All ages,17,3.3,
Lake,2022,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Lassen,2022,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Los Angeles,2022,Race/ethnicity,White,All ages,682,2.8,
Madera,2022,Race/ethnicity,White,All ages,14,2.9,
Marin,2022,Race/ethnicity,White,All ages,21,1.9,
Mariposa,2022,Race/ethnicity,White,All ages,0,0,
Mendocino,2022,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Merced,2022,Race/ethnicity,White,All ages,25,3.3,
Modoc,2022,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Mono,2022,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Monterey,2022,Race/ethnicity,White,All ages,37,3.2,
Napa,2022,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Nevada,2022,Race/ethnicity,White,All ages,17,3.1,
Orange,2022,Race/ethnicity,White,All ages,263,2.3,
Placer,2022,Race/ethnicity,White,All ages,61,2.4,
Plumas,2022,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Riverside,2022,Race/ethnicity,White,All ages,235,3.1,
Sacramento,2022,Race/ethnicity,White,All ages,182,2.7,
San Benito,2022,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
San Bernardino,2022,Race/ethnicity,White,All ages,160,2.6,
San Diego,2022,Race/ethnicity,White,All ages,452,3.3,
San Francisco,2022,Race/ethnicity,White,All ages,47,1.4,
San Joaquin,2022,Race/ethnicity,White,All ages,62,2.7,
San Luis Obispo,2022,Race/ethnicity,White,All ages,23,1.5,
San Mateo,2022,Race/ethnicity,White,All ages,34,1,
Santa Barbara,2022,Race/ethnicity,White,All ages,26,1.6,
Santa Clara,2022,Race/ethnicity,White,All ages,133,2.1,
Santa Cruz,2022,Race/ethnicity,White,All ages,27,2.3,
Shasta,2022,Race/ethnicity,White,All ages,28,2.1,
Sierra,2022,Race/ethnicity,White,All ages,0,0,
Siskiyou,2022,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Solano,2022,Race/ethnicity,White,All ages,29,1.8,
Sonoma,2022,Race/ethnicity,White,All ages,36,1.4,
Stanislaus,2022,Race/ethnicity,White,All ages,69,3.1,
Sutter,2022,Race/ethnicity,White,All ages,13,2.9,
Tehama,2022,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Trinity,2022,Race/ethnicity,White,All ages,0,0,
Tulare,2022,Race/ethnicity,White,All ages,40,3.1,
Tuolumne,2022,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Ventura,2022,Race/ethnicity,White,All ages,70,2.1,
Yolo,2022,Race/ethnicity,White,All ages,24,2.1,
Yuba,2022,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
California,2022,Race/ethnicity,Black,All ages,2360,11.3,
Alameda,2022,Race/ethnicity,Black,All ages,140,8.5,
Alpine,2022,Race/ethnicity,Black,All ages,0,0,
Amador,2022,Race/ethnicity,Black,All ages,0,0,
Butte,2022,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Calaveras,2022,Race/ethnicity,Black,All ages,0,0,
Colusa,2022,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Contra Costa,2022,Race/ethnicity,Black,All ages,69,6.6,
Del Norte,2022,Race/ethnicity,Black,All ages,0,0,
El Dorado,2022,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Fresno,2022,Race/ethnicity,Black,All ages,127,25.5,
Glenn,2022,Race/ethnicity,Black,All ages,0,0,
Humboldt,2022,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Imperial,2022,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Inyo,2022,Race/ethnicity,Black,All ages,0,0,
Kern,2022,Race/ethnicity,Black,All ages,36,7.1,
Kings,2022,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Lake,2022,Race/ethnicity,Black,All ages,0,0,
Lassen,2022,Race/ethnicity,Black,All ages,0,0,
Los Angeles,2022,Race/ethnicity,Black,All ages,851,11.8,
Madera,2022,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Marin,2022,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Mariposa,2022,Race/ethnicity,Black,All ages,0,0,
Mendocino,2022,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Merced,2022,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Modoc,2022,Race/ethnicity,Black,All ages,0,0,
Mono,2022,Race/ethnicity,Black,All ages,0,0,
Monterey,2022,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Napa,2022,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Nevada,2022,Race/ethnicity,Black,All ages,0,0,
Orange,2022,Race/ethnicity,Black,All ages,35,7.5,
Placer,2022,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Plumas,2022,Race/ethnicity,Black,All ages,0,0,
Riverside,2022,Race/ethnicity,Black,All ages,157,11.3,
Sacramento,2022,Race/ethnicity,Black,All ages,219,14.8,
San Benito,2022,Race/ethnicity,Black,All ages,0,0,
San Bernardino,2022,Race/ethnicity,Black,All ages,185,10,
San Diego,2022,Race/ethnicity,Black,All ages,168,10.9,
San Francisco,2022,Race/ethnicity,Black,All ages,44,12.7,
San Joaquin,2022,Race/ethnicity,Black,All ages,43,8.2,
San Luis Obispo,2022,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
San Mateo,2022,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Santa Barbara,2022,Race/ethnicity,Black,All ages,0,0,
Santa Clara,2022,Race/ethnicity,Black,All ages,57,12.8,
Santa Cruz,2022,Race/ethnicity,Black,All ages,0,0,
Shasta,2022,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Sierra,2022,Race/ethnicity,Black,All ages,0,0,
Siskiyou,2022,Race/ethnicity,Black,All ages,0,0,
Solano,2022,Race/ethnicity,Black,All ages,38,7.1,
Sonoma,2022,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Stanislaus,2022,Race/ethnicity,Black,All ages,23,17.1,
Sutter,2022,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Tehama,2022,Race/ethnicity,Black,All ages,0,0,
Trinity,2022,Race/ethnicity,Black,All ages,0,0,
Tulare,2022,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Tuolumne,2022,Race/ethnicity,Black,All ages,0,0,
Ventura,2022,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Yolo,2022,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Yuba,2022,Race/ethnicity,Black,All ages,0,0,
California,2022,Race/ethnicity,Hispanic,All ages,5797,3.8,
Alameda,2022,Race/ethnicity,Hispanic,All ages,79,2.2,
Alpine,2022,Race/ethnicity,Hispanic,All ages,0,0,
Amador,2022,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Butte,2022,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Calaveras,2022,Race/ethnicity,Hispanic,All ages,0,0,
Colusa,2022,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Contra Costa,2022,Race/ethnicity,Hispanic,All ages,117,4.2,
Del Norte,2022,Race/ethnicity,Hispanic,All ages,0,0,
El Dorado,2022,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Fresno,2022,Race/ethnicity,Hispanic,All ages,303,5.5,
Glenn,2022,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Humboldt,2022,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Imperial,2022,Race/ethnicity,Hispanic,All ages,47,2.6,
Inyo,2022,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Kern,2022,Race/ethnicity,Hispanic,All ages,117,2.4,
Kings,2022,Race/ethnicity,Hispanic,All ages,24,2.8,
Lake,2022,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Lassen,2022,Race/ethnicity,Hispanic,All ages,0,0,
Los Angeles,2022,Race/ethnicity,Hispanic,All ages,2002,4.4,
Madera,2022,Race/ethnicity,Hispanic,All ages,34,3.5,
Marin,2022,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Mariposa,2022,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Mendocino,2022,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Merced,2022,Race/ethnicity,Hispanic,All ages,62,3.6,
Modoc,2022,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Mono,2022,Race/ethnicity,Hispanic,All ages,0,0,
Monterey,2022,Race/ethnicity,Hispanic,All ages,118,4.4,
Napa,2022,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Nevada,2022,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Orange,2022,Race/ethnicity,Hispanic,All ages,301,2.8,
Placer,2022,Race/ethnicity,Hispanic,All ages,16,3.1,
Plumas,2022,Race/ethnicity,Hispanic,All ages,0,0,
Riverside,2022,Race/ethnicity,Hispanic,All ages,386,3.3,
Sacramento,2022,Race/ethnicity,Hispanic,All ages,130,3.8,
San Benito,2022,Race/ethnicity,Hispanic,All ages,11,,Rate not available due to statistical instability
San Bernardino,2022,Race/ethnicity,Hispanic,All ages,480,4.2,
San Diego,2022,Race/ethnicity,Hispanic,All ages,542,4.7,
San Francisco,2022,Race/ethnicity,Hispanic,All ages,58,5.2,
San Joaquin,2022,Race/ethnicity,Hispanic,All ages,111,3.5,
San Luis Obispo,2022,Race/ethnicity,Hispanic,All ages,11,,Rate not available due to statistical instability
San Mateo,2022,Race/ethnicity,Hispanic,All ages,51,2.8,
Santa Barbara,2022,Race/ethnicity,Hispanic,All ages,39,1.9,
Santa Clara,2022,Race/ethnicity,Hispanic,All ages,176,3.5,
Santa Cruz,2022,Race/ethnicity,Hispanic,All ages,27,2.9,
Shasta,2022,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Sierra,2022,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Siskiyou,2022,Race/ethnicity,Hispanic,All ages,0,0,
Solano,2022,Race/ethnicity,Hispanic,All ages,16,1.5,
